id,invoice_id,stripe_invoice_line_id,stripe_price_id,stripe_product_id,stripe_subscription_id,stripe_subscription_item_id,interval,amount,currency,description,created_at,updated_at
78,71,il_1M1EzVE224EiyBrBNAlMY7rx,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-11-06 09:58:50,2022-11-06 09:58:50
79,72,il_1M2GrpE224EiyBrBO3kbsXbB,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1KxZ0uE224EiyBrB6iCQZJA3,si_Lesm32BmgSeMJC,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-11-09 06:11:09,2022-11-09 06:11:09
80,73,il_1M6WhLE224EiyBrB8EOOPEJD,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jc5eOE224EiyBrBToelZRTP,si_KGcuVhZs2GGpYy,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-11-20 23:53:56,2022-11-20 23:53:56
81,74,il_1M85XtE224EiyBrBbGbN76qR,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-11-25 07:18:38,2022-11-25 07:18:38
82,75,il_1M8PLIE224EiyBrByD7fTqH6,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-11-26 04:26:56,2022-11-26 04:26:56
83,76,il_1MAV0pE224EiyBrBnGHn2xyM,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1KDPouE224EiyBrBiW0NZHd8,si_KtCDe24r554UIb,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-12-01 22:54:28,2022-12-01 22:54:28
84,77,il_1MAquTE224EiyBrBBxQoFgTa,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LojmZE224EiyBrBnNkrdjvQ,si_MXpRs3QnL2JHMM,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-12-02 22:17:21,2022-12-02 22:17:21
85,78,il_1MC40SE224EiyBrBHcyJBp1I,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-12-06 06:28:33,2022-12-06 06:28:33
86,79,il_1MC7HHE224EiyBrBk8WLVrw1,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-12-06 09:58:08,2022-12-06 09:58:08
87,80,il_1MHOzfE224EiyBrB1CBaoIS1,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jc5eOE224EiyBrBToelZRTP,si_KGcuVhZs2GGpYy,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-12-20 23:53:47,2022-12-20 23:53:47
