id,project_id,type,data,created_at,updated_at
633,83,start_date_updated,,2022-03-29 10:09:53,2022-03-29 10:09:53
634,84,project_created,,2022-03-29 15:17:53,2022-03-29 15:17:53
635,84,overall_status_updated,"{""status"":""green""}",2022-03-29 15:17:53,2022-03-29 15:17:53
636,84,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-29 15:17:53,2022-03-29 15:17:53
637,84,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-29 15:17:53,2022-03-29 15:17:53
638,84,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-29 15:17:53,2022-03-29 15:17:53
639,84,project_mode_updated,"{""mode"":""closed""}",2022-03-29 15:25:17,2022-03-29 15:25:17
640,84,project_mode_updated,"{""mode"":""open""}",2022-03-29 15:25:41,2022-03-29 15:25:41
641,84,project_mode_updated,"{""mode"":""closed""}",2022-03-29 15:26:02,2022-03-29 15:26:02
642,85,project_created,,2022-03-29 15:31:26,2022-03-29 15:31:26
643,85,overall_status_updated,"{""status"":""green""}",2022-03-29 15:31:26,2022-03-29 15:31:26
644,85,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-29 15:31:26,2022-03-29 15:31:26
645,85,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-29 15:31:26,2022-03-29 15:31:26
646,85,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-29 15:31:26,2022-03-29 15:31:26
647,85,project_mode_updated,"{""mode"":""closed""}",2022-03-29 16:08:37,2022-03-29 16:08:37
648,86,project_created,,2022-03-29 16:10:50,2022-03-29 16:10:50
649,86,overall_status_updated,"{""status"":""green""}",2022-03-29 16:10:50,2022-03-29 16:10:50
650,86,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-29 16:10:50,2022-03-29 16:10:50
651,86,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-29 16:10:50,2022-03-29 16:10:50
652,86,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-29 16:10:50,2022-03-29 16:10:50
