id,project_id,date,overall_gyr_status,open_issues_count,past_due_actions_count,open_risks_count,open_ranked_risks_count,active_changes_count,created_at,updated_at,num_overall_gyr_status
6608,58,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:09,2022-07-30 00:00:09,1
6609,77,2022-07-29,green,8,0,0,0,0,2022-07-30 00:00:09,2022-07-30 00:00:09,1
6610,79,2022-07-29,green,2,2,0,0,1,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6611,95,2022-07-29,green,1,0,0,0,0,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6612,96,2022-07-29,green,2,0,0,0,0,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6613,99,2022-07-29,green,5,6,0,0,0,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6614,101,2022-07-29,green,1,1,0,0,0,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6615,102,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:10,2022-07-30 00:00:10,1
6616,105,2022-07-29,green,2,4,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6617,107,2022-07-29,green,3,3,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6618,108,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6619,109,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6620,110,2022-07-29,green,1,1,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6621,111,2022-07-29,green,2,3,0,0,0,2022-07-30 00:00:11,2022-07-30 00:00:11,1
6622,112,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:12,2022-07-30 00:00:12,1
6623,114,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:12,2022-07-30 00:00:12,1
6624,115,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:12,2022-07-30 00:00:12,1
6625,1,2022-07-30,red,2,1,2,1,0,2022-07-31 00:00:11,2022-07-31 00:00:11,3
6626,2,2022-07-30,green,5,4,3,2,3,2022-07-31 00:00:11,2022-07-31 00:00:11,1
6627,4,2022-07-30,yellow,8,7,6,4,3,2022-07-31 00:00:12,2022-07-31 00:00:12,2
6628,5,2022-07-30,green,1,1,0,0,0,2022-07-31 00:00:12,2022-07-31 00:00:12,1
6629,12,2022-07-30,yellow,4,5,4,3,3,2022-07-31 00:00:12,2022-07-31 00:00:12,2
6630,14,2022-07-30,green,5,0,0,0,0,2022-07-31 00:00:12,2022-07-31 00:00:12,1
6631,17,2022-07-30,green,10,0,0,0,0,2022-07-31 00:00:13,2022-07-31 00:00:13,1
6632,22,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:13,2022-07-31 00:00:13,1
6633,27,2022-07-30,green,3,0,1,0,0,2022-07-31 00:00:13,2022-07-31 00:00:13,1
6634,30,2022-07-30,green,1,1,0,0,0,2022-07-31 00:00:13,2022-07-31 00:00:13,1
6635,34,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:14,2022-07-31 00:00:14,1
6636,38,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:14,2022-07-31 00:00:14,1
6637,56,2022-07-30,green,6,3,2,1,1,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6638,58,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6639,77,2022-07-30,green,8,0,0,0,0,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6640,79,2022-07-30,green,2,2,0,0,1,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6641,95,2022-07-30,green,1,0,0,0,0,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6642,96,2022-07-30,green,2,0,0,0,0,2022-07-31 00:00:15,2022-07-31 00:00:15,1
6643,99,2022-07-30,green,5,6,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6644,101,2022-07-30,green,1,1,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6645,102,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6646,105,2022-07-30,green,2,4,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6647,108,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6648,107,2022-07-30,green,3,3,0,0,0,2022-07-31 00:00:16,2022-07-31 00:00:16,1
6649,109,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6650,110,2022-07-30,green,1,1,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6651,111,2022-07-30,green,2,3,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6652,112,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6653,114,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6654,115,2022-07-30,green,0,0,0,0,0,2022-07-31 00:00:17,2022-07-31 00:00:17,1
6655,1,2022-07-31,red,2,1,2,1,0,2022-08-01 00:00:06,2022-08-01 00:00:06,3
6656,2,2022-07-31,green,5,4,3,2,3,2022-08-01 00:00:06,2022-08-01 00:00:06,1
6657,4,2022-07-31,yellow,8,7,6,4,3,2022-08-01 00:00:06,2022-08-01 00:00:06,2
6658,5,2022-07-31,green,1,1,0,0,0,2022-08-01 00:00:07,2022-08-01 00:00:07,1
6659,12,2022-07-31,yellow,4,5,4,3,3,2022-08-01 00:00:07,2022-08-01 00:00:07,2
6660,14,2022-07-31,green,5,0,0,0,0,2022-08-01 00:00:07,2022-08-01 00:00:07,1
6661,17,2022-07-31,green,10,0,0,0,0,2022-08-01 00:00:08,2022-08-01 00:00:08,1
6662,22,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:08,2022-08-01 00:00:08,1
6663,27,2022-07-31,green,3,0,1,0,0,2022-08-01 00:00:08,2022-08-01 00:00:08,1
6664,30,2022-07-31,green,1,1,0,0,0,2022-08-01 00:00:09,2022-08-01 00:00:09,1
6665,34,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:09,2022-08-01 00:00:09,1
6666,38,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:09,2022-08-01 00:00:09,1
6667,56,2022-07-31,green,6,3,2,1,1,2022-08-01 00:00:09,2022-08-01 00:00:09,1
6668,58,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6669,77,2022-07-31,green,8,0,0,0,0,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6670,79,2022-07-31,green,2,2,0,0,1,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6671,95,2022-07-31,green,1,0,0,0,0,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6672,96,2022-07-31,green,2,0,0,0,0,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6673,99,2022-07-31,green,5,6,0,0,0,2022-08-01 00:00:10,2022-08-01 00:00:10,1
6674,101,2022-07-31,green,1,1,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6675,102,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6676,105,2022-07-31,green,2,4,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6677,107,2022-07-31,green,3,3,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6678,108,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6679,109,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:11,2022-08-01 00:00:11,1
6680,110,2022-07-31,green,1,1,0,0,0,2022-08-01 00:00:12,2022-08-01 00:00:12,1
6681,111,2022-07-31,green,2,3,0,0,0,2022-08-01 00:00:12,2022-08-01 00:00:12,1
6682,112,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:12,2022-08-01 00:00:12,1
6683,114,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:12,2022-08-01 00:00:12,1
6684,115,2022-07-31,green,0,0,0,0,0,2022-08-01 00:00:12,2022-08-01 00:00:12,1
6685,1,2022-08-01,red,2,1,2,1,0,2022-08-02 00:00:13,2022-08-02 00:00:13,3
6686,2,2022-08-01,green,5,5,3,2,3,2022-08-02 00:00:13,2022-08-02 00:00:13,1
6687,4,2022-08-01,yellow,8,7,6,4,3,2022-08-02 00:00:13,2022-08-02 00:00:13,2
6688,5,2022-08-01,green,1,1,0,0,0,2022-08-02 00:00:14,2022-08-02 00:00:14,1
6689,12,2022-08-01,yellow,4,5,4,3,3,2022-08-02 00:00:14,2022-08-02 00:00:14,2
6690,14,2022-08-01,green,5,0,0,0,0,2022-08-02 00:00:14,2022-08-02 00:00:14,1
6691,17,2022-08-01,green,10,0,0,0,0,2022-08-02 00:00:14,2022-08-02 00:00:14,1
6692,22,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:15,2022-08-02 00:00:15,1
6693,27,2022-08-01,green,3,0,1,0,0,2022-08-02 00:00:15,2022-08-02 00:00:15,1
6694,30,2022-08-01,green,1,1,0,0,0,2022-08-02 00:00:15,2022-08-02 00:00:15,1
6695,34,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:15,2022-08-02 00:00:15,1
6696,38,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:16,2022-08-02 00:00:16,1
6697,56,2022-08-01,green,6,3,2,1,1,2022-08-02 00:00:16,2022-08-02 00:00:16,1
6698,58,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:16,2022-08-02 00:00:16,1
6699,77,2022-08-01,green,8,0,0,0,0,2022-08-02 00:00:17,2022-08-02 00:00:17,1
6700,79,2022-08-01,green,2,2,0,0,1,2022-08-02 00:00:17,2022-08-02 00:00:17,1
6701,95,2022-08-01,green,1,1,0,0,0,2022-08-02 00:00:17,2022-08-02 00:00:17,1
6702,96,2022-08-01,green,2,0,0,0,0,2022-08-02 00:00:17,2022-08-02 00:00:17,1
6703,99,2022-08-01,green,5,6,0,0,0,2022-08-02 00:00:17,2022-08-02 00:00:17,1
6704,101,2022-08-01,green,1,1,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6705,102,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6706,105,2022-08-01,green,2,4,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6707,107,2022-08-01,green,3,3,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6708,108,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6709,109,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6710,110,2022-08-01,green,1,1,0,0,0,2022-08-02 00:00:18,2022-08-02 00:00:18,1
6711,111,2022-08-01,green,2,3,0,0,0,2022-08-02 00:00:19,2022-08-02 00:00:19,1
6712,112,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:19,2022-08-02 00:00:19,1
6713,114,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:19,2022-08-02 00:00:19,1
6714,115,2022-08-01,green,0,0,0,0,0,2022-08-02 00:00:19,2022-08-02 00:00:19,1
6715,1,2022-08-02,red,2,1,2,1,0,2022-08-03 00:00:03,2022-08-03 00:00:03,3
6716,2,2022-08-02,green,5,2,3,2,3,2022-08-03 00:00:03,2022-08-03 00:00:03,1
6717,4,2022-08-02,yellow,8,6,6,4,3,2022-08-03 00:00:03,2022-08-03 00:00:03,2
6718,5,2022-08-02,green,1,1,0,0,0,2022-08-03 00:00:03,2022-08-03 00:00:03,1
6719,12,2022-08-02,yellow,4,5,4,3,3,2022-08-03 00:00:04,2022-08-03 00:00:04,2
6720,14,2022-08-02,green,5,0,0,0,0,2022-08-03 00:00:04,2022-08-03 00:00:04,1
6721,22,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:04,2022-08-03 00:00:04,1
6722,17,2022-08-02,green,10,0,0,0,0,2022-08-03 00:00:04,2022-08-03 00:00:04,1
6723,27,2022-08-02,green,3,1,1,0,0,2022-08-03 00:00:05,2022-08-03 00:00:05,1
6724,30,2022-08-02,green,1,1,0,0,0,2022-08-03 00:00:05,2022-08-03 00:00:05,1
6725,34,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:05,2022-08-03 00:00:05,1
6726,38,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:06,2022-08-03 00:00:06,1
6727,56,2022-08-02,green,6,3,2,1,1,2022-08-03 00:00:06,2022-08-03 00:00:06,1
6728,58,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:06,2022-08-03 00:00:06,1
6729,77,2022-08-02,green,8,0,0,0,0,2022-08-03 00:00:07,2022-08-03 00:00:07,1
6730,79,2022-08-02,green,2,2,0,0,1,2022-08-03 00:00:07,2022-08-03 00:00:07,1
6731,95,2022-08-02,green,1,1,0,0,0,2022-08-03 00:00:07,2022-08-03 00:00:07,1
6732,96,2022-08-02,green,2,0,0,0,0,2022-08-03 00:00:07,2022-08-03 00:00:07,1
6733,99,2022-08-02,green,5,6,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6734,101,2022-08-02,green,1,1,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6735,102,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6736,105,2022-08-02,green,2,4,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6737,107,2022-08-02,green,3,3,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6738,108,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:08,2022-08-03 00:00:08,1
6739,109,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6740,110,2022-08-02,green,1,1,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6741,111,2022-08-02,green,2,3,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6742,112,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6743,114,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6744,115,2022-08-02,green,0,0,0,0,0,2022-08-03 00:00:09,2022-08-03 00:00:09,1
6745,1,2022-08-03,red,2,1,2,1,0,2022-08-04 00:00:06,2022-08-04 00:00:06,3
6746,2,2022-08-03,green,5,2,3,2,3,2022-08-04 00:00:07,2022-08-04 00:00:07,1
6747,4,2022-08-03,yellow,8,7,6,4,3,2022-08-04 00:00:07,2022-08-04 00:00:07,2
6748,5,2022-08-03,green,1,1,0,0,0,2022-08-04 00:00:07,2022-08-04 00:00:07,1
6749,12,2022-08-03,yellow,4,5,4,3,3,2022-08-04 00:00:07,2022-08-04 00:00:07,2
6750,14,2022-08-03,green,5,0,0,0,0,2022-08-04 00:00:08,2022-08-04 00:00:08,1
6751,17,2022-08-03,green,10,0,0,0,0,2022-08-04 00:00:08,2022-08-04 00:00:08,1
6752,22,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:08,2022-08-04 00:00:08,1
6753,27,2022-08-03,green,3,1,1,0,0,2022-08-04 00:00:08,2022-08-04 00:00:08,1
6754,30,2022-08-03,green,1,1,0,0,0,2022-08-04 00:00:08,2022-08-04 00:00:08,1
6755,38,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:09,2022-08-04 00:00:09,1
6756,34,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:09,2022-08-04 00:00:09,1
6757,58,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:09,2022-08-04 00:00:09,1
6758,56,2022-08-03,green,6,3,2,1,1,2022-08-04 00:00:09,2022-08-04 00:00:09,1
6759,77,2022-08-03,green,8,0,0,0,0,2022-08-04 00:00:10,2022-08-04 00:00:10,1
6760,79,2022-08-03,green,2,2,0,0,1,2022-08-04 00:00:10,2022-08-04 00:00:10,1
6761,95,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:10,2022-08-04 00:00:10,1
6762,96,2022-08-03,green,2,0,0,0,0,2022-08-04 00:00:10,2022-08-04 00:00:10,1
6763,99,2022-08-03,green,5,6,0,0,0,2022-08-04 00:00:11,2022-08-04 00:00:11,1
6764,101,2022-08-03,green,1,1,0,0,0,2022-08-04 00:00:11,2022-08-04 00:00:11,1
6765,102,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:11,2022-08-04 00:00:11,1
6766,105,2022-08-03,green,2,4,0,0,0,2022-08-04 00:00:12,2022-08-04 00:00:12,1
6767,107,2022-08-03,green,3,3,0,0,0,2022-08-04 00:00:12,2022-08-04 00:00:12,1
6768,108,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:12,2022-08-04 00:00:12,1
6769,109,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:12,2022-08-04 00:00:12,1
6770,110,2022-08-03,green,1,1,0,0,0,2022-08-04 00:00:13,2022-08-04 00:00:13,1
6771,111,2022-08-03,green,2,3,0,0,0,2022-08-04 00:00:13,2022-08-04 00:00:13,1
6772,112,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:13,2022-08-04 00:00:13,1
6773,114,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:13,2022-08-04 00:00:13,1
6774,115,2022-08-03,green,0,0,0,0,0,2022-08-04 00:00:14,2022-08-04 00:00:14,1
6775,1,2022-08-04,red,2,1,2,1,0,2022-08-05 00:00:11,2022-08-05 00:00:11,3
6776,2,2022-08-04,green,5,2,3,2,3,2022-08-05 00:00:11,2022-08-05 00:00:11,1
6777,4,2022-08-04,yellow,8,7,6,4,3,2022-08-05 00:00:12,2022-08-05 00:00:12,2
